;id;nome;preco
0;1;Smartphone Galaxy S23;4599,9
1;2;iPhone 15 Pro;7599,0
2;3;Notebook Dell Inspiron 15;3299,99
3;4;TV LED 55'' 4K Samsung;2899,5
4;5;Fone de Ouvido Bluetooth Sony;399,9
5;6;Tablet Amazon Fire HD 10;1299,0
6;7;Smartwatch Xiaomi Mi Band 7;299,0
7;8;Câmera Canon EOS R6;12599,0
8;9;Console PlayStation 5;3899,9
9;10;Xbox Series X;3599,99
10;11;Monitor Gamer 27'' 144Hz;1899,0
11;12;Teclado Mecânico RGB;499,5
12;13;Mouse Gamer Sem Fio;349,9
13;14;Impressora Multifuncional HP;899,0
14;15;SSD 1TB NVMe;599,99
15;16;Caixa de Som JBL Charge 5;1099,0
16;17;Drone DJI Mini 3 Pro;4999,0
17;18;Roteador Wi-Fi 6;799,5
18;19;Webcam Full HD Logitech;459,9
19;20;Smart Speaker Amazon Echo;599,0
